0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:20:59 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:21:02 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:21:15 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:21:16 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 500 2964
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:21:42 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:21:47 -0300] "GET /ProjetoLivraria HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:21:48 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:21:49 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:21:51 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:22:11 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:22:14 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:22:54 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:26:09 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:26:12 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 500 2541
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:26:22 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 500 2541
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:28:14 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:28:16 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:28:19 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:28:31 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:28:48 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:28:51 -0300] "GET /ProjetoLivraria/listaLivroPorCategoria.jsp HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:28:52 -0300] "GET /ProjetoLivraria/index.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:28:53 -0300] "GET /ProjetoLivraria/adicionar.jsp HTTP/1.1" 200 3255
